src,tgr
我们最好快点（走/做）。,We'd better get a move on.
我嫉妒你的幸運。,I envy you your luck.
等她回来的时候问问她。,Ask her when she comes back.
無知就是幸福。,Ignorance is bliss.
看到他的帽子，她笑了。,She laughed at the sight of his hat.
這部電影對小孩來說很可怕。,This movie is frightening to the children.
我到達倫敦了。,I arrived in London.
我們今天將有一個考試。,We're going to have a test today.
你今天要做什麼?,What are you going to do today?
汤姆等着每个人都离开。,Tom is waiting for everyone to leave.
洗衣服是我的工作。,Washing clothes is my work.
不，我沒寫。,"No, I didn't write it."
你必须走。,You must leave.
医生告诉她要静养。,The doctor told her that she should take a rest.
只要把那些包包放在任何地方都行。,Just put those packages anywhere.
他不仅给了我们衣服，还有一点钱。,He gave us not only clothes but some money.
警方會把你關在牢裡二十年。,The police will put you behind bars for twenty years.
你什麼時候吃早餐？,What time will you have breakfast?
它们中没有我要的。,I don't want either of them.
人們看待事情的角度不同取決於他們是富裕或貧窮。,People look at things differently depending on whether they are rich or poor.
我無法入睡。,I couldn't get to sleep.
请把电视机关掉好吗？,Would you please turn the TV off?
湯姆為他的錯誤後悔。,Tom regrets his mistake.
我們需要你的幫助。,We require your help.
我想要点钱。,I want some money.
她把画挂反了。,She hung the picture upside down.
我無法想像沒有你的生活。,I can't think of life without you.
你可以免費擁有這支手錶。,You can have this watch for nothing.
他在医院里过了他的六十岁生日。,He spent his sixtieth birthday in the hospital.
我跟不上汤姆的逻辑。,I can't follow Tom's logic.
至少告诉我们你要去哪里。,At least tell me where you're going.
你不需要考试。,You don't have to take an examination.
我身上幾乎沒有錢。,I have almost no money with me.
别像猪一样猛吃东西。,Don't eat like a pig.
你在生汤姆的气吗？,Are you angry at Tom?
为什么大家突然对我这么好？,Why is everyone being so nice to me all of a sudden?
等到燈變為綠色。,Wait until the light changes to green.
天要变多云了。,It'll be cloudy.
他没有房子住。,He has no house to live in.
他比你高得多。,He's much taller than you.
您能帮我吗？,Can you help me?
我媽媽每天洗衣服。,My mother washes clothes every day.
那個犯人還沒被抓到。,The criminal has not been caught yet.
是該離開的時候了。,It's time to go.
昨天的消息讓我感到震驚。,I was shocked by yesterday's news.
你想表达什么？,What do you mean?
我的鼻子好癢。,My nose itches.
我没想吓唬你。,I didn't want to surprise you.
你是个奇怪的女孩。,You're a strange girl.
你们来这儿干嘛？,What have you come here for?
如用現金付款，我們給予九折優惠。,We give a 10% discount for cash.
汤姆每次要是不带地图的话就会迷路。,Tom always gets lost if he doesn't carry a map.
這讓我難過。,This makes me sad.
汤姆说它十分重要。,Tom says it's quite important.
我们在探险的时候遇到了很多困难。,We encountered a lot of difficulties on the expedition.
用纸巾把平底锅擦干。,Wipe the pan dry with a paper towel.
你知道谁去过澳大利亚的吗？,Do you know anybody who's been to Australia?
没有任何问题!,No problem at all!
我聽見了他下樓。,I heard him go down the stairs.
她坐在我旁边。,She sat next to me.
你没发烧。,You don't have a fever.
把書放回它原來的地方。,Put the book back where it was.
我確定他是錯的。,I am positive that he is wrong.
他假裝是一位律師。,He pretended that he was a lawyer.
湯姆今天做得非常好。,Tom did a very good job today.
我想要用掛號寄這封信。,I want to have this letter registered.
能把胡椒遞給我嗎？,Could you please pass me the pepper?
我听过这首歌的法语版。,I heard the song sung in French.
我走了你会想我。,You'll miss me when I'm gone.
你能够说出一首他们的歌的名字吗？,Can you name one of their songs?
汤姆是个很强壮的人。,Tom is a strong guy.
呼吸困難。,Breathing was difficult.
我在别处听过那个名字。,I've heard that name somewhere before.
您吃了什麼樣的膳食？,What kind of meal did you eat?
我喜歡狗，但我姊喜歡貓。,"I like dogs, but my sister likes cats."
他一个人生活。,He lives by himself.
你想要知道如何避免皺紋嗎？,Would you like to know how to prevent getting wrinkles?
我不懂发生了什么。,I can't understand what happened.
他不再住在這裡了。,He doesn't live there anymore.
他有時開車去上班。,He sometimes goes to work by car.
我在這裡吃。,I eat here.
懂么？,Do you get it?
那不好。,That wasn't nice.
快點！我們要遲到了。,Hurry up! We'll be late.
要是我會說西班牙語就好了。,I wish I could have spoken Spanish.
我对这些都没有印象。,I can't remember any of it.
魚在這裡是以磅為單位來出售。,Fish is sold by the pound here.
我不要你。,I don't want you.
我的鞋比你的大。,My shoes are bigger than yours.
湯姆和我在同一個班裡。,Tom and I are in the same class.
我是个新生。,I am a new student.
湯姆可能是素食者。,Tom might be a vegetarian.
你认识她多久了？,How long have you known her?
我喜欢嗑葵花籽。,I like cracking sunflower seeds with my teeth.
我對他的問題感到非常困惑。,I was terribly confused by his question.
我不喜歡在泳池裡游泳。,I don't like swimming in pools.
我寄給你一個航空郵件生日禮物。,I'm sending you a birthday present by airmail.
我能看那個嗎？,Can I see that one?
把你的字典借給我好嗎？,Will you lend your dictionary to me?
我總是鎖上我的房間。,I always lock my room.
你想知道我看见什么了吗？,Do you want to know what I see?
我立刻認出了你的聲音。,I recognized your voice right away.
這是你非常想要的書。,This is the very book you wanted.
這副眼鏡多少錢？,How much did the glasses cost?
我有朝一日会成为一名医生。,I will be a doctor someday.
我們從前從沒有過這個問題。,We've never had this problem before.
我每六小时量一次体温。,I took my temperature every six hours.
你到底在我房间里干什么？,What on earth are you doing in my room?
我昨天去了动物园。,I went to the zoo yesterday.
我看不見你。,I can't see you.
她在玻璃杯裡裝滿了酒。,She filled the glass with wine.
我父親總是說天助自助者。,My father always said that heaven helps those who help themselves.
您想告诉我什么？,What is it you want to tell me?
"不久後, 他恢復了健康。",It was not long before he got well.
我想買點東西吃。,I want to buy something to eat.
您做了个坏榜样。,You've set a bad example.
那時你在學校嗎?,Were you at school at that time?
他们差六岁。,The difference in their ages is six years.
我發現了真相。,I discovered the truth.
我喜欢狗，我妹妹喜欢猫。,I like dogs and my sister likes cats.
他已经来了吗？,Has he come yet?
我睡不着觉。,I can't fall asleep.
汤姆兴奋不已。,Tom's delighted.
這個手提箱是誰的?,Who does this suitcase belong to?
我这两天感觉难受。,I've been feeling sick for the past few days.
這是我的問題。,That's my problem.
你还没有为我的自行车付完款吗？,Have you still not finished paying for my bike?
湯姆喜歡茶勝過咖啡。,Tom likes tea better than coffee.
他對室內灰塵過敏。,He is allergic to house dust.
他們闖進了珠寶店。,They broke into the jewelry shop.
她有大量的書。,She has plenty of books.
可以麻烦你把窗关了吗？,May I trouble you to shut the window?
除了他每個人都在這裡。,Everyone is here except for him.
不要在意，不是你的问题。,Don't worry about it. It's not your problem.
我父母住在鄉下。,My parents live in the country.
能否请您给我看一下您的护照？,"Will you show me your passport, please?"
这个学校的学生很友好。,The students of this school are kind.
他的衣服總是很臭。,His clothes always smell bad.
明天的天气预报怎么说？,What's the weather forecast for tomorrow?
我猜想您喜欢他。,I suppose you like him.
这个没人要。,Nobody wants that.
你需要什麼?,What do you need?
这是我年轻时候住的房子。,This is the house I lived in when I was young.
他走路或者骑车过来。,He'll come on foot or by bicycle.
我的工作是洗盤子。,My job is to wash dishes.
我也能幫你。,"I can help you, too."
我從他的書學到了很多。,I learned a lot from his books.
我10分钟后回来。,I'll be back in ten minutes.
你為什麼在這？,Why are you here?
瑪麗想成為一名教師。,Mary wants to become a teacher.
你想喝點什麼嗎？,Would you like a drink?
這輛車不值得修理。,This car isn't worth repairing.
他的叔叔五年前去世了。,His uncle died five years ago.
我的車在店裡修理中。,My car's in the shop.
我要去给她生日买点东西。,I will do the shopping for her birthday.
你什么时候走？,What time are you leaving?
我仍然需要一个答案。,I still need an answer.
這個噪聲快把我逼瘋了。,This noise is driving me crazy.
我們被捲入了一場交通事故。,We got involved in a traffic accident.
到别处去做。,Do it somewhere else.
我站在你这边。,I'm on your side.
即便是小孩子也能做到呢。,Even a child can do it.
她總是一身黑。,She is always dressed in black.
你们必须回家。,You have to go home.
欧洲人喜欢喝酒。,Europeans like to drink wine.
有几个小孩受伤了？,How many children were injured?
英語在商業中很有用。,English is useful in commerce.
波士顿现在几点？,What's the time in Boston now?
人們看待事情的角度不同取決於他們是富裕或貧窮。,A person views things differently according to whether they are rich or poor.
我没有疑问。,I have no doubts.
她可能比你高。,She might be taller than you.
他的計劃是危險的！,His plan is dangerous!
她會永遠愛她的丈夫。,She'll love her husband forever.
我想学习如何游泳。,I want to learn how to swim.
小心扒手。,Look out for pickpockets.
我听到一辆车停了下来。,I heard a car pull up.
我期待見到你。,I am looking forward to seeing you.
我猜那就是汤姆找到我的方法。,I guess that's how Tom found me.
好，定了。,All right. It's a deal.
我認為我們應該能去我們想去的地方。,I think we should be able to go wherever we want to.
我们现在怎么办？,What do we do now?
现在有票。,Tickets are available now.
他寫了一封信。,He has written a letter.
汤姆用尽了火柴，不能点火了。,Tom ran out of matches so he couldn't light the fire.
把你的钥匙给你。,Here are your keys.
汤姆甚至不和玛丽说话了。,Tom doesn't even talk to Mary anymore.
你相信上帝吗？,Do you believe in God?
警察瞄准了那个男人。,The policeman aimed his gun at the man.
你可以想象在月球上行走吗？,Can you imagine walking around on the moon?
日本以富士山聞名。,Japan is famous for Mt. Fuji.
我几乎不能工作了。,I was barely able to work.
孩子們跑下了山丘。,The children ran down the hill.
只有个别人才懂了我的意思。,Only a few people understood me.
接电话。,Answer the phone.
這是所有他必須做的事。,This is all he has to do.
那孩子要六歲了。,The child will be six.
我在海边捡了个漂亮贝壳。,I picked up a pretty shell at the seaside.
汤姆要考虑很多。,Tom has a lot to think about.
汤姆鼓励玛丽再去尝试一次。,Tom encouraged Mary to try again.
這樣的事情不可能在日本發生。,Such a thing can't happen in Japan.
汤姆和约翰关系很好。,Tom is on good terms with John.
怎么办?,What am I to do now?
她给了她父亲一条领带。,She gave her father a tie.
汤姆给了我们可以谈论的东西。,Tom gave us something to talk about.
你在寫信嗎?,Are you writing a letter?
我喜欢你的咖啡。,I like your coffee.
我的祖母無法看得很清楚。,My grandmother can't see very well.
它在我的舌尖上。,It's on the tip of my tongue.
你站在我的立場上考慮看看。,Just put yourself in my shoes.
牛奶酸了。,The milk is sour.
我會說中文，但是我不會讀中文。,"I can speak Chinese, but I can't read Chinese."
它有毒嗎？,Is it poisonous?
那位紳士經常戴著一頂帽子。,That gentleman usually wears a hat.
它是什麼什麼時候蓋的？,When was it built?
我要每天去游泳。,I'm going to swim every day.
很有可能还会下雨。,It is likely to rain again.
請給我一杯水。,Please give me a glass of water.
我的房子靠近公園。,My house is very near the park.
让我拿一下我的小提琴。,Let me get my violin.
下午六点半到帝国酒店的大堂找我。,Meet me at the lobby of the Imperial Hotel at 6:30 p.m.
他参加了奥运会。,He took part in the Olympic Games.
我理所当然地觉得，他会通过考试。,I took it for granted that he would pass the exam.
我的牛仔褲破了一個洞。,I got a hole in my jeans.
我的老婆是醫生。,My wife is a doctor.
我有一个梦想。,I have a dream.
汤姆是个骗子。,Tom is deceitful.
今晚你能打電話給我嗎？,"Could you call me tonight, please?"
他们坚持让他走。,They insist that he should go.
昨晚我和汤姆说话了。,I talked to Tom last night.
謝謝你邀我參加派對。,I'm grateful to you for inviting me to the party.
我在公園里找到了些錢。,I found some money in the park.
我看你擅长做这事。,I can see you're good at this.
我走了。,I'm out of here.
这门怎样都打不开。,The door won't open.
她唱歌唱得比班上任何一個人好。,She can sing better than anybody else in her class.
她理所当然的取得了胜利。,She's sure to succeed.
告訴湯姆我需要借他的車。,Tell Tom I need to borrow his car.
你覺得這本書有趣嗎？,Did you find the book interesting?
鸟儿成群飞着。,The birds were flying in a group.
你该把你的值钱物品保存在一个安全的地方。,You should keep your valuables in a safe place.
能不能给我打折？,Can you give me a discount?
請您稍後再來好嗎？,Would you please come again later?
汤姆如果想通过这门课，就需要加劲学习。,Tom needs to study more if he hopes to pass this class.
我写腻了。,I'm tired of writing.
这种方法早已过时了。,Those kinds of methods are out of date.
我非常困。,I'm very sleepy.
我们有些事要谈。,There's something we need to talk about.
画一个圈。,Draw a circle.
我上週日花時間看了一本小說。,I spent last Sunday reading a novel.
汤姆闭上了眼睛。,Tom shut his eyes.
在下雨。,It's raining.
我周日不去学校。,I don't go to school on Sunday.
不要虐待动物。,Don't be cruel to animals.
你有自行車嗎？,Do you have a bicycle?
門開著嗎？,Is the door open?
抓住他。,Grab him.
我現在想洗澡。,I feel like taking a bath now.
这座小山丘原來是一座兩千多年的古墓。,"The small hill turned out to be an ancient burial mound 2,000 years old."
我們捐血來幫助這個孩子。,We gave blood to help the child.
游泳很簡單。,It is easy to swim.
我不在乎他做什麼。,I don't care what he does.
它是一個晴朗的日子。,It's a clear day.
您能跳多高？,How high can you jump?
她今年春天要去仙台。,She is going to Sendai this spring.
你有一封信。,There is a letter for you.
我在考虑明年去国外。,I am thinking of going abroad next year.
他的爱好是画有花的图。,His hobby is painting pictures of flowers.
你有多少朋友？,How many friends do you have?
那有时会发生。,Sometimes that happens.
还剩多少时间？,How much time is left?
我马上就回来。,I'll be back in a jiffy.
我想我找到答案了。,I think I've found the answer.
"""你为什么不去？""""因为我不想去。""","""Why aren't you going?"" ""Because I don't want to."""
他不辭而別。,He left without saying goodbye.
湯姆喜歡編織。,Tom likes to knit.
我知道汤姆会成为一位优秀的篮球教练。这就是为什么我聘用了他。,I knew Tom would be a good basketball coach. That's why I hired him.
很高兴再见到您。,I'm glad to see you back.
你們好嗎？,How are you all?
我希望事情並非如此。,I hope that is not the case.
我還沒有完全吃完。,I haven't quite finished eating.
你应该自己做。,You must do it yourself.
天空中繁星点点。,The sky is full of stars.
你不想知道原因吗？,Don't you want to know the reason?
我们队进了第一个球。,Our team scored the first goal.
你要再來一塊蛋糕嗎?,How about another piece of cake?
士兵们失去了战斗的勇气。,The soldiers lost the courage to fight.
这首曲子是大调。,This piece is in a major key.
你介意關上門嗎？,Would you mind closing the door?
汤姆独自工作。,Tom works alone.
我想问你一些关于汤姆的问题。,I want to ask you some questions about Tom.
咱去那吧。,Let's go there.
这是我的问题。,This is my problem.
我一聽到那首歌，就想起了我小的時候。,"When I heard that song, it reminded me of when I was a kid."
我们要你告诉我们你为什么整个上周都缺勤。,We need you to tell us why you were absent all last week.
我什么都欠汤姆的。,I owe everything to Tom.
你要什麼甜點？,What would you like for dessert?
她說了什麼?,What did she say?
你班裡最聰明的小孩是誰？,Who's the smartest kid in your class?
他在火旁烘干他的湿衣服。,He dried his wet clothes by the fire.
我們要盡快找到湯姆。,We need to find Tom as quickly as we can.
水沸腾后变为蒸汽。,Water turns into steam when it is boiled.
我本来预备今天去海滩的，但接着天就开始下雨了。,"I was planning on going to the beach today, but then it started to rain."
孩子们需要关爱。,Children need loving.
我今天没时间冲澡。,I didn't have time to take a shower today.
那里也有个公园。,There's also a park there.
你该打扫你的房间。,You have to clean your room.
他把它藏在了门后。,He hid it behind the door.
汤姆不知道该做什么吗？,Did Tom not know what to do?
半個麵包總比沒有好。,Half a loaf is better than none.
有一页缺了。,There is a page missing.
他住在那邊的那間房子。,He lives in that house over there.
我想你快点好。,I hope you'll get better soon.
你能跑。,You could run.
警察认为窃贼从地下室窗口进入。,The police think the burglar entered through a basement window.
日本是一個非常嘈雜的國家。,Japan is an extremely noisy country.
它是封长信。,It was a long letter.
他沒有提到她的請求。,He made no mention of her request.
这是谁的杯子？,Whose glass is this?
让汤姆帮你。,Ask Tom to help you.
你是单身吗？,Are you single?
告訴我們下一步該怎麼做。,Tell us what to do next.
船起了火。,The ship went up in flames.
我不喜欢这个。,I don't like this one.
摸這條蛇安全嗎?,Is this snake safe to touch?
那房子是我出生的地方。,That house is the place where I was born.
你有什么事要说吗？,Do you have something to say?
我收集各国的娃娃。,I collect dolls from different countries.
我們在等對的時機。,We're waiting for the right time.
湯姆還喜歡爵士樂嗎？,Does Tom still like jazz?
你度过愉快的时光了吗？,Did you have a good time?
我吃了一惊。,I was surprised.
我不想被牵扯到这件事里。,I don't want to be involved in that matter.
你知道我的意思嗎？,Do you understand what I mean?
汤姆试着把门推开。,Tom tried to push the door open.
汤姆希望玛丽不会跟约翰谈恋爱。,Tom didn't like the idea of Mary going out with John.
我们成功了。,We succeeded.
我一把这本书读完了就借给你。,I'll lend you the book as soon as I'm done reading it.
汤姆住在波士顿吗？,Is Tom living in Boston?
你到底怎麼回事啊？,What's wrong with you?
我怎麼知道?,How should I know?
我的房子又舊又難看。,My house is old and ugly.
我是最后一个见过汤姆的人。,I'm the last one who saw Tom.
一开始，我以为我病了。,"At first, I thought I was sick."
我只花了三美元。,I spent no more than three dollars.
他坐直了。,He was sitting up straight.
我觉得这主意不行。,I don't think it's a good idea.
在新加坡的街道上扔垃圾会被罚款。,They fine you in Singapore if you throw trash in the streets.
"一般來說, 男人比女人跑得快。","In general, men run faster than women."
这个词怎么发音？,How do you pronounce this word?
離開前我必須刮鬍子。,I've got to shave before leaving.
这条鱼很好吃。,This fish is delicious.
他們彼此相愛。,They love each other.
演讲者精彩的演说给我们留下了深刻的印象。,We were deeply impressed by the lecturer's eloquent speech.
我要些讀的東西。,I want something to read.
我熟悉這個主題。,I am familiar with this subject.
她對他說了些話。,She said something to him.
下一場表演在幾點鐘？,What time is the next performance?
时间就是金钱。,Time is money.
冰冻三尺，非一日之寒。,Rome was not built in a day.
请填好这张表格。,"Fill out this form, please."
她試著舉起箱子，但發現不可能做到。,"She tried to lift the box, but found it impossible."
這裡有一些圖片。,Here are some pictures.
抓到小偷真是太好了。,I'm glad that the thief was caught.
汤姆可能还在学法语。,Tom is probably still studying French.
我幾乎被車撞到了。,I was almost hit by a car.
只剩下一點點牛奶了。,There's only a little milk left.
要听老师的话。,Obey your teachers.
你在奧地利的什麼地方長大？,Where in Austria did you grow up?
这是你的自行车吗？,Is this your bicycle?
靠近一點聽，你就會聽到了。,If you listen closely enough you'll be able to hear it.
有人打電話來。,Someone called.
你们想送汤姆什么圣诞礼物？,What do you want to get Tom for Christmas?
木质房屋很容易着火。,A wooden building can easily catch fire.
他花了一上午的時間看書。,He spent the morning reading a book.
那很稀少。,That's very rare.
对不起，我迟到了。,I'm sorry for being late.
你不必著急。,You don't have to hurry.
剎車出了問題。,Something is wrong with the brakes.
河對岸有很多的垃圾。,There's a lot of trash on the far bank of the river.
又下雨了！,It's raining again!
汤姆不喜欢足球。,Tom doesn't like soccer.
讓我們來拍照吧。,Let's get our photograph taken.
這是真的。,That's true.
她在节食。,She's on a diet.
今天天氣很好。,It's a nice day.
他开始害怕了。,He began to feel afraid.
稍微冷点儿不要紧。,I don't care if it's a bit cold.
我向一個警察問路。,I asked a policeman for directions.
我站著等公車。,I stood waiting for a bus.
你等我多久了？,How long have you been waiting for me?
我爸在工厂工作。,My father works in a factory.
我高中时曾打网球,I played tennis in high school.
我以前在这里没见过你。,I haven't seen you around here before.
我不能抓到他演讲的重点。,I couldn't get the point of his speech.
那不太可能。,That would be unlikely.
有甚麼事要做嗎？,Is there anything that needs to be done?
根据天气预报，雨季下周会开始。,"According to the weather forecast, the rainy season will set in next week."
我也愛你。,"I love you, too."
有什么新鲜事吗？,What is new?
我一直信守我的諾言。,I've always kept my word.
请您能不能尽量慢点说？,Please speak as slowly as possible.
战争于1941年爆发。,War broke out in 1941.
你什麼時候回家？,When are you coming home?
他很快就會回家。,He'll be back home soon.
幸福是买不到的。,Happiness can't be bought.
他在一場交通意外中受了傷。,He got injured in a traffic accident.
我無法再做下去了。,I can't do any more than this.
你怎么了？,What's up with you?
你不是个懦夫。,You are not a coward.
我要清理廁所了。,I have to clean the bathroom.
這裡有些有趣的連結。,Here are some interesting links.
他是一名高中學生。,He is a student at a high school.
她把工作弄得一團糟。,She made a mess of the work.
五年太漫長而無法等待。,Five years is too long to wait.
你甚沒問過我怎麼想。,You haven't even asked me what I think.
种瓜得瓜，种豆得豆。,"As you sow, so will you reap."
我明天得早起。,I have to get up quite early tomorrow.
我有工作給你。,I have a job for you.
有时候成人表现得像儿童。,Sometimes adults behave like children.
汤姆说它是钻石。,Tom said that it was a diamond.
自然充满了神秘。,Nature is full of mysteries.
照镜子。,Look in the mirror.
他看起来很可疑。,He looks suspicious.
他晚上回來得很晚。,He returned very late at night.
他们过着和平的生活。,They live in peace.
我猜想你可能是对的。,"You could be right, I suppose."
他邊走邊吹口哨。,He whistled as he walked.
我必须拒绝。,I have to say no.
你比玛丽可爱。,You're cuter than Mary.
我知道你比我有錢。,I know that you're richer than me.
許多電視節目對兒童有不良的影響。,Many TV programs have a bad influence on children.
我會做的。,I'll do it.
在我看来，你错了。,"In my opinion, you're wrong."
他將他的成功歸於好運。,He owes his success to good luck.
請您把那扇窗戶關起來好嗎？,Can you please close that window?
那是純金嗎？,Is that pure gold?
你在研讀英語嗎？,Are you studying English?
湯姆有危險。,Tom is in danger.
我來自靜岡。,I am from Shizuoka.
奶酪是用奶做成的。,Cheese is made from milk.
聞起來好香喔。你在煮什麼？,This smells great! What are you cooking?
冰岛曾属于丹麦。,Iceland belonged to Denmark.
汤姆不喜欢网球，从来不喜欢。,Tom doesn't enjoy tennis and never has.
我们每天早上到公园里遛狗。,Every morning we take the dog for a walk in the park.
实验室里的空调坏了。,The air conditioner in the lab is broken.
他对我说了谎，这就是为什么我生他的气了。,He lied to me. That is why I am angry with him.
他很少写信给他父亲。,He seldom writes to his father.
下一个街角左转。,Turn left at the next corner.
老闆在哪裡？,Where's the boss?
我会仔细考虑。,I'll think it over carefully.
他有些鋼筆。,He has a few pens.
我的數學不好。,I'm not good at mathematics.
你怎麼拼你的名字的？,How do you spell your name?
我不太確定。,I can't say for sure.
真的令人丧气。,It was truly depressing.
欧洲有许多不同的人。,There are many different people in Europe.
他们的苹果没有我们的好吃。,Their apples aren't as tasty as ours.
這附近有醫院嗎？,Is there a hospital nearby?
我想吃蛋糕當點心。,I'd like to have cake for dessert.
这个价格不合理。,The price isn't reasonable.
墙被常青藤覆盖了一部分。,The wall is partly covered with ivy.
"當他睡覺時, 他總是讓窗戶開著。",He always leaves the window open when he sleeps.
老師跟我們說了一個有趣的故事。,The teacher told us a funny story.
我不能说。,I can't say.
我需要一副好的太陽眼鏡。,I need a good pair of sunglasses.
你曾经得过重病吗？,Have you ever had any serious illness?
他计算费用。,He calculated the expenses.
如果你不计较太多，生活会更容易些。,Life would be so much better if you didn't care so much.
你母親現在情況危殆。,Your mother is in critical condition.
你能记起来的最后一件事是什么？,What's the last thing you remember?
我欣賞好音樂。,I appreciate good music.
我买了几个鸡蛋和一点牛奶。,I bought a few eggs and a little milk.
热情具有传染性。,Enthusiasm is contagious.
繼續工作！,Keep working.
我有個到國外旅遊的機會。,I had a chance to travel abroad.
汤姆令人难以忍受。,Tom is insufferable.
我最近压力有点大。,I've been under a lot of pressure lately.
你說的話沒有道理。,What you say makes no sense.
我們會盡力在這禮拜結束前把工作完成。,We will endeavour to finish the job by the end of the week.
除非有人跟他說話，他從來不說話。,He never speaks unless spoken to.
Mary试图把围裙围在腰上，然后把烤鸡从炉子里拿出来。,Mary tied an apron around her waist and then took the turkey out of the oven.
汤姆和玛丽一起工作吗？,Are Tom and Mary working together?
我偶爾打網球。,I play tennis once in a while.
开车慢点。,Drive slowly.
米价下跌了。,The price of rice has fallen.
别烦我！,Leave me alone!
把你的袜子脱了。,Take off your socks.
你們城市有多少個學校？,How many schools are there in your city?
他們正在拆這面牆。,They are breaking down the wall.
我們發現這個男孩睡得很沉。,We found the boy fast asleep.
让我们开始吧。,Let's get started.
这个词是什么意思？,What does this word mean?
她没有比她妈妈更漂亮。,She's not prettier than her mother.
我完全不明白。,I can't make any sense of this.
他每天祈祷好几次。,He prays several times a day.
他們的進度較預期慢30分鐘。,They're 30 minutes behind schedule.
他說的不重要。,It doesn't matter what he said.
地图挂在墙上。,The map is on the wall.
她犯了很多拼寫錯誤。,She made a lot of spelling mistakes.
結帳櫃台在哪裡?,Where's the checkout counter?
他從早上九點工作到下午五點半。,He works from nine to five-thirty.
你现在在哪里呢？,Where are you now?
抓到小偷真是太好了。,I'm glad the thief was caught.
他说话很直接。,He's very straightforward.
情況正在改善，所以振作起來！,"The situation is improving, so cheer up!"
我学韩语。,I study Korean.
我们交了朋友。,We got to be friends.
“需要我为您留个口信儿吗？”“不用了，谢谢。”,"""Shall I take a message?"" ""No, thank you."""
你被不公平地對待。,You were treated unfairly.
你去教堂嗎？,Do you go to church?
我们冰箱里有牛奶吗？,Do we have milk in the fridge?
她將去千葉球場。,She is going to Chiba Stadium.
你知道怎么使用吗？,Do you know how to use this?
学游泳非常简单。,It's very easy to learn how to swim.
無論她去哪裡，她都是惹人喜愛的。,"Wherever she goes, she is well liked."
我們有兩張床的空位置。,We have space for two beds.
我跟這件事無關。,I have nothing to do with the affair.
你怎麼賺錢？,How do you make your money?
他们不会找到汤姆。,They won't find Tom.
我在树林里迷路了。,I got lost in the woods.
真是好久不见啊,It's been a long time since we last saw each other.
你和湯姆一定很高興。,You and Tom must be happy.
我很想找出她为什么这么说的原因。,I'd love to find out why she said so.
不要做评判，这样您自己才不会被人评判。,Don't judge and you won't be judged.
您不是个懦夫。,You are not a coward.
我們是朋友。,We're friends.
她明年會去美國嗎?,Will she go to America next year?
我爱上了她。,I fell in love with her.
为什么你对于这个有这样的想法？,Why should you think that?
考試分為兩個部分。,The exam was divided into two parts.
地图帮助我们知道所在的位置。,A map helps us to know where we are.
我不會再犯那錯了。,I won't make that mistake again.
我想擺脫它。,I want to get rid of it.
坐我旁边。,Sit beside me.
我们有一位非常好的厨师。,We have a really good cook.
银行九点开门。,Banks open at nine o'clock.
他知道很多外國事務。,He knows a lot about foreign affairs.
禁止评论。,No comment.
我们不能在这里谈。,We can't talk here.
我對歷史有興趣。,I'm interested in history.
孩子們還沒上過除法。,The children haven't studied division yet.
我不是很想出去。,I didn't really feel like going out.
她的作品給我留下了深刻印象。,I was impressed with her work.
我將要在這裡待幾天。,I am going to stay here for a couple of days.
她持有与我不同的观点。,She has a view that is different from mine.
箭头表示行进方向。,The arrow indicates the way to go.
他们告诉我这是你的错。,They told me it was your fault.
佛教來自印度。,Buddhism originated in India.
汤姆很小气。,Tom is stingy.
他从早到晚只是在抱怨。,He does nothing but complain from morning till night.
她没有敌人。,She doesn't have any enemies.
Tom沒有兄弟也沒有姊妹。,Tom has no brothers or sisters.
我怕蜘蛛。,I'm afraid of spiders.
我期待您的消息。,I am looking forward to hearing from you soon.
他已經成為了棒球隊員。,He has made the baseball team.
你刚说了什么？,What was that you just said?
你写吗?,Did you write?
這張臉我以前見過。,That's a face I've seen before.
考试加油！,Good luck on your test.
你在电视上看足球赛了吗？,Did you watch the soccer game on television?
失败的责任在他。,He is to blame for the failure.
他给我们讲了一个有趣的故事。,He told us an interesting story.
汤姆过去很保守。,Tom was conservative.
汤姆什么都不想喝。,Tom doesn't want anything to drink.
我昨天大部分时间在家。,I was at home most of the day yesterday.
她没有走远。,She didn't go far.
你为什么一个人？,Why are you alone?
为什么不尝尝寿司？,Why don't you have some sushi?
您觉得您无法与他人交流吗？,Do you feel like you can't connect with other people?
我认出了一些汤姆演奏的调子。,I recognized some of the tunes that Tom played.
我沒醉。,I was not drunk.
这些都是你不得不做的吗？,Is that all you have to do?
请给我们两把刀和四把叉。,"Give us two knives and four forks, please."
汤姆把他的枪卖给了玛丽。,Tom sold his gun to Mary.
我對他的勇氣感到驚訝。,I was amazed at his courage.
汤姆亲吻了玛丽的两颊。,Tom gave Mary a kiss on both cheeks.
您空闲时间喜欢做什么？,What do you like doing in your free time?
我可以安慰她。,I can comfort her.
你们共住一个房间吗？,Do you share a room?
他有可能辭職嗎?,Is there any chance that he'll resign?
昨晚你把她送回家了吗？,Did you drive her home last night?
你能給我你的電話號碼嗎？,Can you give me your phone number?
上星期我非常地忙。,I was very busy last week.
到我們該走的時候了。,It's already time for us to go.
你可以做到，不是嗎？,"You can do it, can't you?"
你多久后需要它？,How soon do you need it?
課堂上所有的男生都很用功。,All the boys in class worked hard.
他没听见有人叫他的名字。,He didn't hear his name called.
你不用帮我。,You don't have to help me.
