src,trg
我看見她游泳。,I saw her swim.
他是我的如意郎君。,He's my Mr. Right.
我们没奶油了。,We have run out of cream.
你磨蹭什么呀，快点去吧。,What are you lingering for? Hurry up and go.
他把整个苹果都吃了。,He ate the whole apple.
我必須熨我的襯衫。,I have to iron my shirt.
盐没了。,There is no salt left.
这座城市海拔1600米。,"This city is 1,600 meters above sea level."
我很期待哦。,I'm really looking forward to it.
請坐下。,Please sit down.
我在等事情發生。,I was waiting for something to happen.
我們可能是最先到那裡的。,We'll probably be the first ones there.
我也无法解释。,I can't explain it either.
一块岩石从上面落下。,A rock fell from above.
我馬上到那裡。,I'll be there right away.
誰在乎她何時結婚?,Who cares when she gets married?
她贏了許多比賽。,She won many competitions.
不會花很多時間的。,It's not going to take long.
我觉得那是个很棒的故事。,I thought that that was a great story.
我在找一些固定工作。,I'm looking for some regular work.
你在土耳其哪儿生活?,Where in Turkey do you live?
他們的父親是一個計程車司機。,Their father is a taxi driver.
士兵們準備好要戰鬥了。,The soldiers are ready for battle.
她把鑰匙放在她的口袋裡。,She put the key in her pocket.
汤姆是糖尿病患者。,Tom is diabetic.
他说的没有一句实话。,There isn't a grain of truth in what he says.
别倚着墙。,Don't lean against the wall.
这是个重要事件。,This is an important event.
你應該知道的。,You should know it.
他快要睡了。,He was just on the verge of going to sleep.
我想要那個袋子。,I want that bag.
湯姆告訴我我應該去做。,Tom told me that I should do that.
那裡有人打過架。,There was a fight.
我们待在舅舅家。,We're staying at our uncle's.
我非常同意你。,I really agree with you.
她父亲把一生都贡献给科学事业了。,Her father dedicated his life to science.
在我洗澡的时候，电话响了。,I was in the bath when the phone rang.
我是个大学生。,I am a student in a university.
地球比太陽小。,The earth is smaller than the sun.
工作都全由我做。,I do all the work.
他不因貧窮而感到羞愧。,He is not ashamed of being poor.
你在哪裡唸高中?,Where do you attend high school?
屋裡的每個人都被發生的事驚住了。,Everyone in the room was stunned by what happened.
他已经说了是。,He has already said yes.
这部电影是我迄今为止看过的最好的一部。,This is the best movie I've ever seen.
这不实用。,It isn't practical.
再不快点你就要赶不上末班车了。,"If you don't hurry, you'll miss the last train."
不要拖延去找工作的事。,Stop putting off finding a job.
我在為湯姆擔心。,I'm concerned about Tom.
我可能把钥匙忘了。,I might've forgotten my keys.
今天就到此為止吧。,Let's call it a day.
我以前聽過這笑話。,I've heard this joke before.
这就是我关于他知道的一切。,This is all that I know about him.
那座山很容易爬。,That mountain is easy to climb.
他們和解了，並再次成為了朋友。,They made up and became friends again.
那是汤姆的妈妈。,That's Tom's mother.
我有糖尿病。,I'm diabetic.
我痛恨恐怖主义组织。,I hate terrorist organizations.
他讓我違背了我的意願。,He made me go against my will.
他永远不会打败我的。,He'll never beat me.
湯姆現在是軟體工程師。,Tom is now a software engineer.
我必須在兩者中選擇。,I had to choose between the two.
我们被警告过了。,We've been warned.
不是我告訴你不要去做的。,It wasn't me who told you not to do that.
突然間她開始用尖銳的聲音大喊。,All at once she began to shout in a shrill voice.
她要求他打開窗戶。,She asked him to open the window.
當你說英語的時候不要怕犯錯。,Don't be afraid to make mistakes when speaking English.
为什么你要烧这些图片呢？,Why are you burning these pictures?
讓我一個人去。,Let me go alone.
我把我的鋼筆弄丟了。,I've lost my pen.
舞台上有著名音乐家吗？,Are there any famous musicians on the stage?
你們學習嗎？,Are you studying?
你必须遵守规则。,You have to follow the rules.
他是一个高大的男孩。,He is a tall boy.
他是个捕鱼好手。,He is an expert at fishing.
汤姆得出无论他做什么，玛丽都不会喜欢的结论。,"Tom came to the conclusion that no matter what he did, Mary wouldn't like it."
警察因酒後駕駛逮捕了他。,The policeman arrested him for drunken driving.
他的建議不算什麼。,His advice counted for little.
你早餐想要吃什麼？,What do you want for breakfast?
你现在想要什么？,What do you want now?
你回来之前我会跟汤姆在一起。,I'll stay with Tom until you get back.
我们在下个加油站停一下。,Let's stop at the next gas station.
我现在不能回答你。,I can't answer you now.
你應該諮詢你的醫生。,You should consult your doctor.
他问我买了什么。,He asked me what I had bought.
我們去拜訪他吧。,Let's drop by his house.
据说这房子是个鬼屋。,It is said the house is haunted.
我喜歡打棒球。,I like playing baseball.
探头配有麦克风。,The probe is equipped with a microphone.
我們應該工作得更努力。,We should've worked harder.
请抱紧汤姆。,Hug Tom.
我承认他说的是事实。,I recognize that what he says is the truth.
你喜歡吃水果嗎？,Do you like to eat fruit?
请你把冷气调高点。,Please turn up the AC a little bit.
我以你為榮。,I'm proud of you.
這讓我開心。,This makes me happy.
我們必須重新開始。,We must make a new start.
遇到火警時，撥打119。,"In case of fire, call 119."
她昨晚做了个美梦。,She had a pleasant dream last night.
听着，我要跑了。,"Listen, I've got to run."
再见！,See you.
我需要医生。,I need a doctor.
我媽媽幾乎從不抱怨。,My mother almost never complains.
附近有一間郵局。,There is a post office close by.
蘇格蘭在9月可以變的很溫暖。,Scotland can be very warm in September.
那只是對我來說沒有意義。,That just doesn't make sense to me.
他十七歲的時候離開了高中。,He left high school at seventeen.
我听说过那个故事。,I have heard the story.
我们待在舅舅家。,We are staying at our uncle's.
她决定和他结婚。,She decided to marry him.
我不怪你。,I don't blame you.
這條河叫什麼名字?,What is the name of this river?
你怕虫子吗？,Are you afraid of insects?
我们昨天踢了足球。,We played soccer yesterday.
我完全不要牛奶。,I don't want any milk at all.
请帮我找一下我的钱包。,Please find me my wallet.
她手上有一朵花。,She has a flower in her hand.
我明白你的感受。,I understand your feelings.
你什麼時候開始打高爾夫球？,When did you begin playing golf?
我不喜歡獨處。,I don't like to be alone.
一直打扰你不好意思。,I'm sorry to bother you so often.
汤姆以为玛丽会喜欢那么做。,Tom thought Mary would like doing that.
我觉得汤姆需要减肥了。,I think Tom should go on a diet.
不要問她任何有關婚姻的問題。,Don't ask her any questions about her marriage.
我很高興它結束了。,I'm glad it's over.
别让他们忘了我。,Don't let them forget me.
汤姆说玛丽饿了。,Tom said Mary was hungry.
我最近忙得很。,I've been really busy lately.
你该早一点来的。,You should've come a little earlier.
我們想你。,We missed you.
黎明時我們必須起床。,We must get up at dawn.
把筆記本給我。,Give me the notebook.
這裡的食物不是很好。,The food isn't very good here.
你可以相信她。,You can count on her.
你不要命啦！,Are you nuts?
上床睡觉之前请关灯。,Please turn off the light before you go to sleep.
哈哈,Someone is always on duty.
如果真的是朋友的话，是不会说这样的话的吧。,A true friend would not say such a thing.
我們偶爾在湖裡游泳。,We sometimes swim in the lake.
车子若是掉落悬崖他们早就没命了。,They would have been killed if the car had gone over the cliff.
她戴上了她的帽子。,She put on her hat.
起初我聽不懂他說的話。,I couldn't understand him at first.
汤姆不知道他现在应该做什么。,Tom doesn't know what he should do now.
她学习数学,She studies mathematics.
非常抱歉，我遲到了。,I'm awfully sorry that I was late.
汤姆是个寡欲的人。,Tom is a man of few wants.
即使我在学校学习了三年，我仍然不擅长说法语。,"Even though I studied French for three years in school, I'm not good at speaking it."
出租车到了。,The taxi has arrived.
我们要继续下去。,We'll continue.
Tom和Mary有三隻貓和兩隻狗。,Tom and Mary have three cats and two dogs.
昨天我組裝了一個揚聲器。,I built an amplifier yesterday.
请继续讲你的故事。,Please continue with your story.
他穿中式服裝。,He wears Chinese-style clothes.
我可以去廁所嗎？,May I go to the toilet?
我想成为决策的人。,I want to be the one who decides.
我不知道我能不能再做一次。,I wonder if I can do it again.
我出生於1972年10月10日。,"I was born on October 10th, 1972."
你有駕駛執照嗎？,Do you have a driver's license?
戒烟难。,It's hard to quit smoking.
你自己应该知道吧。,You must know yourself.
無論你去哪裡我都會跟著你。,"No matter where you go, I'll follow you."
我被那位老師嚴厲斥責了。,I got scolded severely by that teacher.
它跟你說的完全一樣。,It's exactly as you say it is.
她不喜欢让自己丈夫喝醉。,She didn't like her husband drunk.
对不起，我没有听到你说话。,"Sorry, I didn't hear you."
汤姆不知道今天是期限。,Tom didn't know the deadline was today.
要住在郊区的话，汽车是必需的。,A car is a must for life in the suburbs.
图片的背景是一座城堡。,There is a castle in the background of the picture.
那是有道理的。,That makes sense.
我們不喜歡下雨。,We don't like rain.
我们在哪里见面？,Where are we going to meet?
玛丽，我喜欢你！,"Mary, I love you."
我在街上遇到他。,I met him on the street.
她整天待在房子裡。,She stayed in the house all day.
你必须努力工作。,You have to work hard.
她周末病倒了。,She got sick this weekend.
我真喜欢我做的事。,I really like what I do.
這裡真的很暗，我什麼都看不到。,It's really dark here. I can't see anything.
他出席了会议。,He was present at the meeting.
花园里树上的叶子已经完全变红了。,The leaves of the trees in the garden have turned completely red.
我買了一支手錶給她。,I bought her a watch.
你到底怎么回事啊？,What is the matter with you?
您生气了吗？,Are you mad?
他给了我1万日元。,"He gave me 10,000 yen."
她家在一座山的山脚下。,Her house is at the foot of a mountain.
汤姆和朋友们打了整个下午篮球。,Tom and his friends played basketball all afternoon.
你每天都跑步吗？,Do you run every day?
到明年四月我们住在这儿就满两年了。,We'll have lived here for two years next April.
他們決定在下個月結婚。,They decided to get married next month.
這個柳橙太酸了。,This orange is too sour.
闭上你的嘴。,Zip your lips.
观点因人而异。,Opinions vary from person to person.
他因為下雪所以遲到了。,He was late because of the snow.
她父亲把一生都贡献给科学事业了。,Her father devoted his life to science.
這個是你的。,This one's yours.
湯姆已經失去學習法語的興趣。,Tom has lost his interest in studying French.
我搞砸了第一個音符。,I screwed up the very first note.
汤姆非常性感。,Tom is so hot.
汤姆不想来。,Tom doesn't want to come.
儘管他有那麼多錢，他並不快樂。,"Even with all his money, he's unhappy."
我看见天上有奇怪的东西。,I saw something strange in the sky.
近来咖啡的短缺造成了许多问题。,The recent coffee shortage brought about many problems.
这里有个更好的。,Here's an even better one.
大家都知道是汤姆做的,Everyone knew Tom was the one who did it.
他們在還很年輕的時候就結婚了。,They married when they were young.
我妹妹成為了一個大學生。,My sister became a college student.
笨蛋難聚財。,A fool and his money are soon parted.
好像她病了。,She seemed to have been ill.
湯姆從來不擅長游泳。,Tom was never very good at swimming.
我中午前寫完這封信了。,I finished writing the letter by noon.
遇到火警時，撥打119。,"In the case of fire, dial 119."
我從樹上砍下了一根樹枝。,I cut a branch from the tree.
他被迫加班。,He was forced to work overtime.
我和一位朋友住在一起。,I am staying with a friend.
我們認識他。,We know him.
他不在这儿，因为他病了。,He isn't here because he's ill.
湯姆也說話了。,Tom also talked.
我蛀牙很多。,I have a lot of bad teeth.
讓我帶你四處看看我們的房子。,Let me show you around our house.
不急。,There's no rush.
他们受到迫害。,They were persecuted.
汤姆睡过头了。,Tom overslept.
我可以和你講一下話嗎?,May I speak to you a minute?
你今晚要做什麼?,What are you going to do tonight?
要是我很忙，我可能就会迟到。,If I am busy then I may arrive late.
无论你要我做什么，我都会去做的。,I'll do whatever you want me to do.
我不抽烟。,I don't smoke.
"欺騙別人是錯的, 但更糟的欺騙自己。","It's wrong to deceive people, but worse to deceive yourself."
我的鼻子好癢。,My nose is so itchy.
这不是汤姆要做那件事的主要原因。,That wasn't the main reason that Tom needed to do that.
这是我的错。,It's my fault.
在這裡我必須脫鞋嗎?,Do I have to take off my shoes here?
湯姆和瑪麗脫離了危險。,Tom and Mary are out of danger.
你们什么时候开始学英语的？,When did you begin to learn English?
汤姆是个公交车司机。,Tom is a bus driver.
多少錢？,How much did that cost?
化学工厂一着火就爆炸了。,"Immediately after it caught fire, the chemical factory blew up."
我觉得看电视是浪费时间。,I think watching TV is a waste of time.
我記得你說你甚麼也沒看到。,I thought you said you didn't see anything.
Mary试图把围裙围在腰上，然后把烤鸡从炉子里拿出来。,Mary tied an apron around her waist and then took the turkey out of the oven.
他很快就會回家。,He'll be back home soon.
她決定辭職了。,She decided to resign.
这是我的错。,This is my fault.
我没有对任何事感到有罪。,I'm not guilty of anything.
湯姆已經僱了新律師。,Tom has already hired a new lawyer.
你的计划需要一大笔钱。,Your plan requires a large amount of money.
他們可能錯過了火車。,They may have missed the train.
这份工作不付钱的。,This work doesn't pay.
我一点也没有要辞职的意思。,I have no intention of resigning.
我不用打扫房间。,I don't have to clean my room.
我们希望找到解决方法。,We hope a solution is found.
他總是支持她。,He always takes sides with her.
你能告诉我你为什么喜欢她吗？,Will you tell me why you like her?
从天上看下来，这条河像一条巨蛇。,"Seen from the sky, the river looked like a huge snake."
别把人家当傻瓜。,Don't make a fool of me.
我心里充满着快乐。,My heart was filled with happiness.
翻译那本书要多少钱？,How much money will it cost to get that book translated?
我比平常晚到。,I arrived later than usual.
如果不是它很重要，我不會問你。,I wouldn't ask this of you if it weren't important.
汤姆把钟拆开了。,Tom disassembled the clock.
我開始寫一本書。,I started to write a book.
但願我見過她。,I wish I had seen her.
他有任何的兄弟嗎?,Does he have any brothers?
他们出发去南极探险。,They went on an expedition to the Antarctic.
我是个二流子。,I'm a good-for-nothing bum.
听着。,Listen.
我们必须介入。,We must intervene.
他弄丟了一本書。,He lost a book.
我確定他們會贏。,I'm sure they'll win.
汤姆本该已经准备好了。,Tom should've been ready.
我是个翻译。,I am a translator.
就当在家一样。,Make yourself at home.
终于开始下雨了。,"At last, it began to rain."
我决不会忘记去年与总统握手的情景。,I'll never forget shaking the President's hand last year.
我还记得我和你一起去野餐的时候。,I can still remember the time when we went on a picnic together.
這個地方很大，不是嗎？,"This place is large, isn't it?"
我們租了輛卡車來運我們的家具。,We rented a truck to move our furniture.
我确定你不久就回来。,I'm sure you'll be back before long.
「你幾歲？」「我十六歲。」,"""How old are you?"" ""I'm 16 years old."""
英语是当今世界上一种非常重要的语言。,English is a very important language in today's world.
很難把中文說得好。,It is difficult to speak Chinese well.
无解。,There isn't any solution.
他的钱包被偷了。,He had his wallet stolen.
請來瓶紅酒。,Can I have a bottle of red wine?
他是个好脾气的人。,He is a pleasant person.
汤姆失去了平衡摔落下来。,Tom lost his balance and fell down.
我会尽快处理这问题。,I'll deal with this problem as soon as I can.
我好累啊。,I'm so tired!
損失是無法估計的。,The losses are incalculable.
他知道如何彈鋼琴。,He knows how to play the piano.
"一般來說, 男人比女人跑得快。","In general, men run faster than women."
玛丽把一些花放进了花瓶。,Mary put some flowers in the vase.
我們可以信賴他的判斷。,We can rely on his judgement.
这片区域很少下雪。,It rarely snows in this area.
沒人應該擔心。,Nobody should be worried.
你要我们做什么？,What did you want us to do?
他的公司沒有從危機中倖存。,His company didn't survive the crisis.
Tom每天早上去散步。,Tom takes a walk every morning.
這個房間裡沒有椅子。,There are no chairs in this room.
所有花園裡的花朵都枯萎了。,All the flowers in the garden withered.
亚洲的大小约四倍于欧洲。,Asia is roughly four times the size of Europe.
我直接從他那裡得到訊息。,I got the information from him directly.
我對他的問題感到非常困惑。,I was awfully confused by his question.
從這裡到公園距離兩英里。,It is two miles from here to the park.
我看见他穿过了马路。,I saw him cross the street.
我幾乎聽不到他的聲音。,I could hardly hear him.
他每天早上洗澡。,He takes a bath every morning.
她沒有在星期天來找我，而是星期一。,She did not visit me on Sunday but on Monday.
這些洋裝太大。,These dresses are too large.
我常常感冒。,I often catch colds.
我繼續唱歌。,I kept singing.
我想跟湯姆走。,I'd like to go with Tom.
汤姆试过还回泳衣来换成更大一号的，但是员工告诉他那是不被允许的。,"Tom tried to return the swimsuit for a larger size, but the clerk told him that wasn't allowed."
我得去工作了。,I need to go to work.
我們應該坐下。,We should sit down.
你想看哪种类型的电影？,What kind of movie do you want to watch?
汤姆想让玛丽回家。,Tom wanted Mary to go home.
白蚁吃木头。,Termites eat wood.
湯姆喝得很多。,Tom drank heavily.
我要在哪裡換火車？,Where do I have to change trains?
我有事要做。,I've got work to do.
即使汤姆很有钱，他也开心不起来。,"Even though Tom is wealthy, he's not happy."
湯姆是甚麼時候讓你去做的？,When did Tom ask you to do that?
突然開始下雨。,Suddenly it began to rain.
我7点起床了。,I got up at seven.
湯姆意識到他丢了錢包。,Tom realized he had lost his wallet.
你能把我的名字加到等候批准的申请人名单上吗？,Could you put my name on the waiting list?
這個蘋果太小。,This apple is too small.
鸵鸟不会飞。,Ostriches can't fly.
零在一前面。,Zero comes before one.
学会一门外语不容易。,It is not easy to learn a foreign language.
你不能打一點折嗎？,Can't you discount it a little?
他比你高一點點。,He's a little taller than you are.
我要去给她生日买点东西。,I will do the shopping for her birthday.
汤姆不能把他的真实感受告诉玛丽。,Tom can't tell Mary his real feelings.
我的女儿感冒了。,My daughter caught a cold.
我想挣点钱，所以我一周打三天小时工。,"I wanted to earn some money, so I worked part time three days a week."
在吃什么呢？,What are you eating?
她七點鐘到車站。,She got to the station at seven.
面試怎麼樣？,How was the interview?
我們沒有必要參加會議。,It is not necessary for us to attend the meeting.
我來這裡幫你。,I'm here to help you.
他跟我過不去。,He is giving me a hard time.
你打算做什么？,What're you up to?
你確定那是你想要的嗎？,Are you sure that's what you want?
汤姆说他以为需要做那件事的就只有他一个。,Tom said he thought he might be the only one who had to do that.
她是Tom的姐姐。,She's Tom's sister.
那家店卖报纸和杂志。,That shop sells newspapers and magazines.
汤姆捐一半他的薪水给他最喜欢的慈善机构。,Tom donates half his salary to his favorite charity.
我記不得了。,I don't remember.
我是个老实人。,I'm an honest person.
被告会向上级法院上诉。,The defendant will appeal to a higher court.
我想知道我為甚麼在這裡。,I want to know why I'm here.
我不能忍受這個噪音。,I can't stand this noise.
亚马逊河有很多支流。,The Amazon is fed by a large number of tributaries.
你在说我有生命危险吗？,Are you saying that my life is in danger?
什么都没动。,Nothing has moved.
我出生前，我父亲就死了。,My dad died before I was born.
这些是很旧的书。,These are very old books.
他的英勇行為使他贏得了尊重。,His brave deed earned him respect.
我太累了，做不了功课。,I'm too sleepy to do my homework.
它是關於什麼?,What is it about?
生活費升高了。,The cost of living has gone up.
她摸索著一張紙。,She fumbled with a piece of paper.
玛丽是班里面长得最漂亮的女孩。,Mary is the prettiest girl in her class.
你新書的書名是什麼？,What's the title of your new book?
她通過一首詩表達了她對大自然的感受。,She expressed her feelings for nature in a poem.
我的夢想是成為一名教師。,My dream is to become a teacher.
要是你不还给他，他就会生气！,"If you don't give it back to him, he'll be angry!"
"快點, 否則你會趕不上火車。","Hurry up, or you will miss the train."
你為什麼不坐下來放鬆一下。,Why don't you sit down and relax?
他们给他们的儿子取名叫汤姆。,They named their son Tom.
他面有飢色,He had a hungry look.
我媽媽量了我的體溫。,My mother took my temperature.
她不知道怎麼打高爾夫球。,She doesn't know how to play golf.
數學是所有科學的基礎。,Mathematics is basic to all sciences.
她喜欢为她的家人做饭。,She likes to cook for her family.
他去世三年了。,He has been dead for three years.
您想告诉我什么？,What is it you want to tell me?
我一整天都在看这本小说。,I spent the whole day reading that novel.
湯姆昨天沒穿牛仔褲。,Tom didn't wear jeans yesterday.
每个人都知道汤姆的法语很好。,Everyone knows that Tom speaks good French.
我告诉了汤姆要做什么。,I told Tom what to do.
我不相信孩子能独自到东京。,I don't believe the child came to Tokyo alone.
“请把盐递给我。”“拿着。”,"""Pass me the salt, please."" ""Here you are."""
我們一週有四堂法語課。,We have four French classes a week.
我们睡在我舅舅家。,We are spending the night at my uncle's house.
汤姆当上了部长。,Tom became a minister.
他是营销部的负责人。,He's the manager of the marketing department.
你們倆都錯了。,Both of you are wrong.
請把我的名字加在名單上。,Please add my name to the list.
祝你一路平安。,I hope you have a good trip.
你們好嗎？,How are you doing?
你喜欢吗 ?,Do you like it?
我們從那裡逃了出來。,We made it out of there.
最近的電話亭在哪裡？,Where's the nearest telephone booth?
请坐。,Sit down.
我和她交往幾個月了。,I've been going out with her for months.
你不能在沼澤地上建造建築物。,You can't build buildings on swampy land.
他的心臟病要發作了。,He's going to have a heart attack.
當我年長時，我漸漸變得有遠見。,I'm getting farsighted as I get older.
我是个侦探。,I'm a detective.
如果你買給我冰淇淋，我就親你一下。,"If you buy me an ice cream, I'll give you a kiss."
我把雨伞落在这里了吗？,Did I leave my umbrella here?
只要十元！,It only costs $10.00!
每个人都担心。,Everybody's worried.
請讓我們知道。,Please let us know.
我的照相机在火车上被偷了。,My camera was stolen on the train.
汤姆还另有三条狗。,Tom has three other dogs.
他死於战争。,He was killed in the war.
他可能會不高興。,He might not be happy.
木星是太陽系中最大的行星。,Jupiter is the largest planet in the Solar System.
我不想要汤姆给我的礼物。,I don't want the present Tom gave me.
一天有二十四个小时。,There are twenty-four hours in a day.
太阳露出来了。,The sun came out.
盒子几乎是空的。,The box is almost empty.
这朵花散发出强烈的香味。,This flower gives off a strong fragrance.
下雪了。,It's snowing.
湯姆要睡著了。,Tom is about to fall asleep.
我在深夜遇見了她。,I met her late in the evening.
這是誰的襯衫。,Whose shirt is this?
这些人讨厌所有的外国人。,These people hate all foreigners.
不要因为吃得太多而扰乱胃的正常消化。,Don't get an upset stomach by eating too much.
他拿着一个装满了苹果的袋子。,He carried a bag full of apples.
汤姆承认他杀死了玛丽。,Tom admitted that he had killed Mary.
湯姆把鑰匙放在口袋裡。,Tom put his keys in his pocket.
汤姆急着想知道结果。,Tom is anxious to know the result.
我會盡力而為。,I will do my best.
我擅長足球。,I'm good at soccer.
在沙特阿拉伯妇女不允许开车。,Women are not permitted to drive cars in Saudi Arabia.
汤姆是不是麻烦事很多？,Is Tom in a lot of trouble?
我昨晚做了一個奇怪的夢。,Last night I had a strange dream.
金子比水重得多。,Gold is far heavier than water.
她總是穿著黑色的衣服。,She always wears black.
我们刚好有时间吃早饭。,We just have enough time to eat breakfast.
他跟你说什么，你就做什么。,Do whatever he tells you.
把你的書閤起來看著我。,Look at me with your books closed.
我們的冰箱壞了。,Our fridge is broken.
你认为我能帮忙吗？,Do you think I can help?
我爸爸很忙。,My father is busy.
她一開門，一隻貓就跑了出來。,"As soon as she opened the door, a cat ran out."
你等一会然后再给我打电话，可以吗？,May I ask you to call me back later?
我以前总认为汤姆是有一些与众不同的。,I always thought that Tom was a bit different.
我希望你讀讀這本書。,I hope that you give this book a read.
她被他的笑容迷住了。,She was bewitched by his smile.
我感覺我們會變得更好。,I feel we're going to get better.
我的手表每天走快五分钟。,My watch gains five minutes a day.
我必須幫忙我母親。,I must help my mother.
大多数人认为计算机永远不会有思考的能力。,Most people think computers will never be able to think.
我想要去。,I'd like to go.
我想问他的电话号码是多少。,I want to ask what his phone number is.
警察告诉我巴士的末班车在十点出发。,The policeman told me that the last bus leaves at ten.
他與她在美國成為朋友。,He made friends with her in America.
在下一站換火車。,Change trains at the next station.
汤姆告诉了我玛丽住哪儿。,Tom told me where Mary lives.
她可以來。,She may come.
我買不起一輛車。,I cannot afford to buy a car.
我讨厌别人让我等很久。,I hate when other people make me wait a long time.
他在吃过晚餐后回到了自己的房间。,He retired to his own room after supper.
他们让我很生气。,They made me really angry.
我被蜜蜂蛰了一下。,I was stung by a bee.
我看见五个男人。,I saw five men.
你打過電話了嗎？,Did you call?
讓我們來打棒球吧！,Let's play baseball!
你不能小聲點說話嗎？,Can't you lower your voice?
瑪麗是一個非常漂亮的姑娘。,Mary is a very pretty girl.
我不会表现出恐惧。,I'm not going to show any fear.
汤姆经常说梦话。,Tom frequently talks in his sleep.
你曾經想過當個護士嗎?,Have you ever thought of becoming a nurse?
她一整晚都在哭。,She wept the entire night.
飛機十分鐘後起飛。,The plane takes off in ten minutes.
我一直在找你。,I've been looking for you.
你為什麼這麼生氣？,Why are you so mad?
汤姆说话的法国腔很重。,Tom has a very strong French accent.
她是个数学天才。,She was a genius in mathematics.
你有兄弟吗？,Do you have any brothers?
我每晚都給你打電話。,I'll telephone you every night.
我的鼻子好癢。,My nose is itchy.
你來得很早。,You've arrived very early.
我想要聽流行音樂。,I'd like to listen to pop music.
汤姆在和我的狗一起玩。,Tom is playing with my dog.
她给我沏了茶。,She made tea for me.
你在监狱里呆了多久？,How long were you in jail?
我確定他明天會來。,I'm sure he will come tomorrow.
他是委員會主席。,He's the chairman of the committee.
我只是待在家里看电视。,I just stayed at home and watched TV.
我弟弟很喜欢拍山的照片。,My younger brother really likes to take photos of mountains.
汤姆不必谢我。,Tom didn't have to thank me.
財富並不總是為我們帶來快樂。,Wealth does not always bring us happiness.
農作物需要雨水。,The crops need rain.
我昨天去学校。,I went to school yesterday.
他不知道下一步要做什麼。,He didn't know what to do next.
他不是每一天都來這裡。,He does not come here every day.
我知道汤姆在做什么。,I know what Tom is doing.
我要一间有淋浴的单人间。,"I'd like a single with a shower, please."
你什麼時候離開？,What time will you leave?
我觉得我是误删了这个文件。,I think I mistakenly deleted that file.
把你手里的东西给我。,Give me what you have in your hand.
我从没想过它会变成这样。,I never thought it would come to this.
她为我们煮了一顿美味的晚餐。,She cooked us a delicious dinner.
我问问路。,I'll ask for directions.
你总是迟到。,You are always late.
你该听妈妈的话。,You ought to listen to your mother.
理论上说，理论和实践没有区别。但实践上说，是有的。,"In theory, there is no difference between theory and practice. But, in practice, there is."
汤姆想说声再见。,Tom wanted to say goodbye.
除非有人跟他說話，他從來不說話。,He never speaks unless spoken to.
他让妹妹帮他涂他房间的墙。,He had his sister help him paint the wall of his room.
规矩点。,Mind your manners.
你几岁交了第一个女朋友？,At what age did you have your first girlfriend?
但願我年輕一點。,I wish I were younger.
这条鱼不能吃了。,This fish isn't fit to eat.
我試著給湯姆回電話。,I tried to call Tom back.
现在就跟我来。,Come with me now.
“你感觉怎么样？”他问。,"""How do you feel?"" he asked."
不要擔心我。,Don't worry about me.
说谎不好。,It's wrong to lie.
今天沒有像昨天那麼冷。,It isn't anything like as cold as it was yesterday.
我们之前没有见过吧。,I don't think we've been introduced.
汤姆坐在椅子上睡着了。,Tom fell asleep sitting up in the chair.
这汤怎么做的？,How did you make this soup?
我们休息一下吧。,Let's take a rest.
你到底怎麼回事啊？,What exactly happened to you?
湯姆去年去了波士頓。,Tom visited Boston last year.
我們早餐吃了三明治。,We ate sandwiches for breakfast.
他当时一个人在家。,He was home alone at the time.
这是我的错。,It was my fault.
我已经和这个学生谈过话了。,I already talked to this student.
我们怀疑他说谎了。,We suspected him of lying.
這名男子搶走了她的包包。,The man robbed her bag.
我已經準備去死了。,I'm ready to die.
我想用信用卡支付。,I'd like to pay by credit card.
這些箱子是由塑料製成的。,These boxes are made of plastic.
真理必胜。,Truth will always prevail.
汤姆告诉我该说什么。,Tom told me what to say.
Tom有三隻貓。,Tom has three cats.
她整齊地把她的手帕折好。,She folded her handkerchief neatly.
我不喜欢夏天。,I don't like summer.
大家好嗎？,How's everybody?
她將會成為日本第一個女性太空人。,She will be the first Japanese woman astronaut.
我没时间阅读。,I don't have time for reading.
你们有什么菜？,What kind of food do you have?
我怕她可能得了腮腺炎。,I'm afraid she may have the mumps.
我不想再惹事了。,I don't want to cause any more trouble.
请吃点蛋糕。,Please eat some cake.
湯姆跑得快。,Tom runs very fast.
他把手插進口袋裡。,He put his hands in his pockets.
天看起来要下雨了。,It looks as if it is going to rain.
我無法表達我對你的感謝。,I can't thank you enough.
你听得见吗？,Can you hear me?
他的职业是医生。,He is a doctor by profession.
你最近检查视力了吗？,Have you had your eyesight checked recently?
Tom過去喝很多酒。,Tom used to drink like a fish.
我当然希望这是一个梦。,I sure hope this is a dream.
她在节食中。,She's on a diet.
汤姆说他觉得那可能永远不会发生了。,Tom said he thought that would probably never happen.
會議比往常早結束。,The meeting ended earlier than usual.
他迟早会回来的。,He will come back sooner or later.
這該是甚麼意思？,What's this supposed to mean?
虽然正在下雪，但是我也非去不可。,"Although it is snowing, I must go."
你最好坐公共汽車去。,You'd better go by bus.
明天我一整天都有空。,I'll be free all day tomorrow.
这个能吃吗？,Can this be eaten?
她不喜欢唱悲伤的歌。,She doesn't like to sing sad songs.
我下一站下车。,I'm getting off at the next station.
我知道湯姆在看着我。,I know Tom is watching me.
伦敦是全世界最大的城市之一。,London is among the world's largest cities.
许多移民改了名字。,Many of the immigrants changed their names.
你会骑马吗？,Can you ride a horse?
我在陽臺上吃的早飯。,I ate breakfast on my balcony.
我不知道，也不想知道。,I don't know and I don't want to know.
她是个非常好的老师。,She is a very good teacher.
谁担心汤姆？,Who's worried about Tom?
